2022-10-08,Tennessee vs. LSU,ESPN,12:00p,2.96,SEC vs SEC,Tennessee,LSU,SEC,SEC
2022-10-08,Utah vs. UCLA,FOX,3:30p,2.65,P12 vs P12,Utah,UCLA,P12,P12
2022-10-08,BYU vs. Notre Dame,NBC,7:30p,2.53,Independent vs Independent,BYU,Notre Dame,Independent,Independent
2022-10-08,Clemson vs. Boston College,ABC,7:30p,1.93,ACC vs ACC,Clemson,Boston College,ACC,ACC
2022-10-08,Washington St vs. USC,FOX,7:30p,1.84,P12 vs P12,Washington State,USC,P12,P12
2022-10-15,Alabama vs. Tennessee,CBS,3:30p,11.56,SEC vs SEC,Alabama,Tennessee,SEC,SEC
2022-10-15,Penn State vs. Michigan,FOX,12:00p,6.45,B10 vs B10,Penn State,Michigan,B10,B10
2022-10-15,Clemson vs. FSU,ABC,7:30p,3.38,ACC vs ACC,Clemson,FSU,ACC,ACC
2022-10-15,USC vs. Utah,FOX,8:00p,2.74,P12 vs P12,USC,Utah,P12,P12
2022-10-15,LSU vs. Florida,ESPN,7:00p,2.46,SEC vs SEC,LSU,Florida,SEC,SEC
2022-10-15,Wisconsin vs. Michigan State,FOX,4:00p,2.45,B10 vs B10,Wisconsin,Michigan State,B10,B10
2022-10-15,Iowa State vs. Texas,ABC,12:00p,2.35,B12 vs B12,Iowa State,Texas,B12,B12
2022-10-15,Stanford vs. Notre Dame,NBC,7:30p,2.15,P12 vs Independent,Stanford,Notre Dame,P12,Independent
2022-10-15,Oklahoma State vs. TCU,ABC,3:30p,2.14,B12 vs B12,Oklahoma State,TCU,B12,B12
2022-10-15,Auburn vs. Mississippi,ESPN,7:30p,2.06,SEC vs SEC,Auburn,Mississippi,SEC,SEC
2022-10-22,Syracuse vs. Clemson,ABC,12:00p,4.75,ACC vs ACC,Syracuse,Clemson,ACC,ACC
2022-10-22,Syracuse vs. Clemson,ABC,12:00p,4.75,ACC vs ACC,Syracuse,Clemson,ACC,ACC
2022-10-22,Texas vs. Oklahoma State,ABC,3:30p,4.46,B12 vs B12,Texas,Oklahoma State,B12,B12
2022-10-22,Iowa vs. Ohio State,FOX,12:00p,4.38,B10 vs B10,Iowa,Ohio State,B10,B10
2022-10-22,Mississippi vs. LSU,CBS,3:30p,3.86,SEC vs SEC,Mississippi,LSU,SEC,SEC
2022-10-22,Mississippi State vs. Alabama,ESPN,7:00p,3.59,SEC vs SEC,Mississippi State,Alabama,SEC,SEC
2022-10-22,Minnesota vs. Penn State,ABC,7:30p,3.54,B10 vs B10,Minnesota,Penn State,B10,B10
2022-10-22,UCLA vs. Oregon,FOX,3:30p,3.34,P12 vs P12,UCLA,Oregon,P12,P12
2022-10-22,Kansas State vs. TCU,FS1,8:00p,1.53,B12 vs B12,Kansas State,TCU,B12,B12
2022-10-22,Washington vs. Cal,ESPN,10:30p,1.32,P12 vs P12,Washington,Cal,P12,P12
2022-10-22,Purdue vs. Wisconsin,ESPN,3:30p,1.01,B10 vs B10,Purdue,Wisconsin,B10,B10
2022-10-29,Ohio State vs. Penn State,FOX,12:00p,8.27,B10 vs B10,Ohio State,Penn State,B10,B10
2022-10-29,Florida vs. Georgia,CBS,3:30p,5.62,SEC vs SEC,Florida,Georgia,SEC,SEC
2022-10-29,Michigan State vs. Michigan,ABC,7:30p,5.58,B10 vs B10,Michigan State,Michigan,B10,B10
2022-10-29,Kentucky vs. Tennessee,ESPN,7:00p,4.04,SEC vs SEC,Kentucky,Tennessee,SEC,SEC
2022-10-29,Oklahoma State vs. Kansas State,FOX,3:30p,3.38,B12 vs B12,Oklahoma State,Kansas State,B12,B12
2022-10-29,Illinois vs. Nebraska,ABC,3:30p,2.49,B10 vs B10,Illinois,Nebraska,B10,B10
2022-10-29,Notre Dame vs. Syracuse,ABC,12:00p,2.34,Independent vs ACC,Notre Dame,Syracuse,Independent,ACC
2022-10-29,TCU vs. West Virginia,ESPN,12:00p,1.51,B12 vs B12,TCU,West Virginia,B12,B12
2022-10-29,Stanford vs. UCLA,ESPN,10:30p,1.26,P12 vs P12,Stanford,UCLA,P12,P12
2022-10-27,Virginia Tech vs. NC State,ESPN,7:30p,1.23,ACC vs ACC,Virginia Tech,NC State,ACC,ACC
2022-11-05,Tennessee vs. Georgia,CBS,3:30p,13.06,SEC vs SEC,Tennessee,Georgia,SEC,SEC
2022-11-05,Alabama vs. LSU,ESPN,7:00p,7.58,SEC vs SEC,Alabama,LSU,SEC,SEC
2022-11-05,Ohio State vs. Northwestern,ABC,12:00p,4.76,B10 vs B10,Ohio State,Northwestern,B10,B10
2022-11-05,Clemson vs. Notre Dame,NBC,7:30p,3.22,ACC vs Independent,Clemson,Notre Dame,ACC,Independent
2022-11-05,Florida vs. Texas A&M,ESPN,12:00p,2.73,SEC vs SEC,Florida,Texas A&M,SEC,SEC
2022-11-05,Texas Tech vs. TCU,FOX,7:30p,2.23,B12 vs B12,Texas Tech,TCU,B12,B12
2022-11-05,Penn State vs. Indiana,ABC,3:30p,2.17,B10 vs B10,Penn State,Indiana,B10,B10
2022-11-05,Cal vs. USC,ESPN,10:30p,1.84,P12 vs P12,Cal,USC,P12,P12
2022-11-05,FSU vs. Miami,ABC,7:30p,1.5,ACC vs ACC,FSU,Miami,ACC,ACC
2022-11-05,Michigan vs. Rutgers,BTN,7:30p,1.29,B10 vs B10,Michigan,Rutgers,B10,B10
2022-11-12,Alabama vs. Mississippi,CBS,3:30p,8.71,SEC vs SEC,Alabama,Mississippi,SEC,SEC
2022-11-12,TCU vs. Texas,ABC,7:30p,5.03,B12 vs B12,TCU,Texas,B12,B12
2022-11-12,Nebraska vs. Michigan,ABC,3:30p,3.88,B10 vs B10,Nebraska,Michigan,B10,B10
2022-11-12,Washington vs. Oregon,FOX,7:00p,3.57,P12 vs P12,Washington,Oregon,P12,P12
2022-11-12,LSU vs. Arkansas,ESPN,12:00p,3.57,SEC vs SEC,LSU,Arkansas,SEC,SEC
2022-11-12,Georgia vs. Mississippi State,ESPN,7:00p,3.34,SEC vs SEC,Georgia,Mississippi State,SEC,SEC
2022-11-12,Indiana vs. Ohio State,FOX,12:00p,3.34,B10 vs B10,Indiana,Ohio State,B10,B10
2022-11-12,Missouri vs. Tennessee,CBS,12:00p,3.01,SEC vs SEC,Missouri,Tennessee,SEC,SEC
2022-11-12,Notre Dame vs. Navy,ABC,12:00p,2.07,Independent vs ACC,Notre Dame,Navy,Independent,ACC
2022-11-12,Maryland vs. Penn State,FOX,3:30p,1.88,B10 vs B10,Maryland,Penn State,B10,B10
2022-11-19,Ohio State vs Maryland,ABC,3:30p,6.6,B10 vs B10,Ohio State,Maryland,B10,B10
2022-11-19,Illinois vs Michigan,ABC,12:00p,5.47,B10 vs B10,Illinois,Michigan,B10,B10
2022-11-19,Tennessee vs South Carolina,ESPN,7:00p,4.87,SEC vs SEC,Tennessee,South Carolina,SEC,SEC
2022-11-19,USC vs UCLA,FOX,8:00p,4.53,P12 vs P12,USC,UCLA,P12,P12
2022-11-19,Georgia vs Kentucky,CBS,3:30p,4.48,SEC vs SEC,Georgia,Kentucky,SEC,SEC
2022-11-19,TCU vs Baylor,FOX,12:00p,4.35,B12 vs B12,TCU,Baylor,B12,B12
2022-11-19,Oklahoma State vs Oklahoma,ABC,7:30p,3.06,B12 vs B12,Oklahoma State,Oklahoma,B12,B12
2022-11-19,Utah vs Oregon,ESPN,10:30p,2.54,P12 vs P12,Utah,Oregon,P12,P12
